trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,-14,-87.25472230980156,"{0: 25, 1: 2, 2: 5, 3: 1, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",30,-18,-68.7886738620392,"{0: 33, 1: 7, 2: 7, 3: 1, 4: 0}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",25,5,-30.15487564620222,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",1
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",20,-9,-90.90558305356112,"{0: 18, 1: 6, 2: 3, 3: 1, 4: 1}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",30,-12,-123.17090600820391,"{0: 28, 1: 3, 2: 9, 3: 1, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.891568288195329}",30,-43,-259.5741936282145,"{0: 47, 1: 12, 2: 9, 3: 2, 4: 3}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",30,-100,-452.758400574622,"{0: 84, 1: 16, 2: 21, 3: 4, 4: 5}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",20,-71,-218.23794378282113,"{0: 67, 1: 7, 2: 12, 3: 2, 4: 3}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,-11,-146.50030936789662,"{0: 16, 1: 6, 2: 6, 3: 2, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,-29,-276.79260804062744,"{0: 32, 1: 1, 2: 10, 3: 1, 4: 5}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",25,-85,-559.099661870175,"{0: 73, 1: 12, 2: 13, 3: 1, 4: 11}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",35,-24,-197.944330622917,"{0: 39, 1: 8, 2: 8, 3: 1, 4: 3}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,3,-31.109570757316924,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 1}",1
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,-46,-337.1483430774639,"{0: 45, 1: 3, 2: 9, 3: 3, 4: 6}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",25,-84,-499.91211676890384,"{0: 70, 1: 11, 2: 17, 3: 3, 4: 8}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",25,20,7.3572705068728785,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,-38,-264.7236506505482,"{0: 39, 1: 6, 2: 7, 3: 1, 4: 5}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",25,0,-148.38055883874372,"{0: 18, 1: 0, 2: 2, 3: 2, 4: 3}",1
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",20,-1,-58.308646191040175,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 1}",1
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,-17,-128.32995092919487,"{0: 26, 1: 3, 2: 5, 3: 1, 4: 2}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",25,0,-133.03392476237806,"{0: 17, 1: 3, 2: 1, 3: 1, 4: 3}",1
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",30,-39,-376.6535307655119,"{0: 39, 1: 10, 2: 12, 3: 3, 4: 5}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",25,-20,-210.5433357725219,"{0: 28, 1: 6, 2: 6, 3: 2, 4: 3}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490558}",20,0,-16.304058141045044,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",20,-3,-6.487018962672777,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 0}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,13,-39.08519803669096,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",30,-1,-61.073114135266984,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 1}",1
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",25,10,-71.273805176368,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",25,-14,-55.564553733726704,"{0: 29, 1: 4, 2: 5, 3: 0, 4: 1}",0
